linenumber,fec_committee_id,transaction_id,entity_type,organization_name,last_name,first_name,middle_name,prefix,suffix,street_1,street_2,city,state,zip_code,election_code,date,amount,purpose,memo_code,memo_text,cycle
SB23,C00121368,5408356,CCM,MIKE THOMPSON FOR CONGRESS,,,,,,5429 MADISON AVENUE,,Sacramento,CA,95841,,2022-07-25,5000.0,Contributions to Federal Candidates,,Contributions to Federal Candidates,2022
SB29,C00121368,5381373,COM,Friends of Bryan Cutler,,,,,,P.O. Box 624,,Quarryville,PA,17566,,2022-07-08,5000.0,Contributions to State Candidates,,Contributions to State Candidates,2022
SB29,C00121368,5381398,COM,Aument for Senate,,,,,,PO Box 194,,Landisville,PA,17538,,2022-07-08,5000.0,Contributions to State Candidates,,Contributions to State Candidates,2022
SB29,C00121368,5381381,COM,Kerry Benninghoff for Representative Committee,,,,,,328 E. Lamb Street,,Bellefonte,PA,16823,,2022-07-08,5000.0,Contributions to State Candidates,,Contributions to State Candidates,2022
SB29,C00121368,5381402,COM,Friends of Kim Ward,,,,,,PO Box 83,,Harrisburg,PA,17108,,2022-07-08,5000.0,Contributions to State Candidates,,Contributions to State Candidates,2022
SB23,C00121368,5408358,CCM,MARC VEASEY CONGRESSIONAL CAMPAIGN COMMITTEE,,,,,,PO Box 50084,,FORT WORTH,TX,76105,,2022-07-25,2500.0,Contributions to Federal Candidates,,Contributions to Federal Candidates,2022
SB29,C00121368,5381390,COM,Citizens for Josh Kail,,,,,,PO BOX 94,,Beaver,PA,15009,,2022-07-08,2500.0,Contributions to State Candidates,,Contributions to State Candidates,2022
SB23,C00121368,5408348,CCM,MCHENRY FOR CONGRESS,,,,,,PO BOX 2165,,Gastonia,NC,28053,,2022-07-25,2500.0,Contributions to Federal Candidates,,Contributions to Federal Candidates,2022
SB23,C00121368,5408345,CCM,YVETTE4CONGRESS,,,,,,1111 10TH STREET #404,,Alamogordo,NM,88310,,2022-07-25,2500.0,Contributions to Federal Candidates,,Contributions to Federal Candidates,2022
SB23,C00121368,5408344,CCM,GRAVES FOR CONGRESS,,,,,,"2345 GRAND BLVD, SUITE 2400",,KANSAS CITY,MO,64108,,2022-07-25,2500.0,Contributions to Federal Candidates,,Contributions to Federal Candidates,2022
SB23,C00121368,5408343,CCM,SYLVIA GARCIA FOR CONGRESS,,,,,,PO BOX 8530,,HOUSTON,TX,77249,,2022-07-25,2500.0,Contributions to Federal Candidates,,Contributions to Federal Candidates,2022
SB23,C00121368,5408342,CCM,TEXANS FOR HENRY CUELLAR CONGRESSIONAL CAMPAIGN,,,,,,1519 WASHINGTON STREET Suite 200,,Laredo,TX,78040,,2022-07-25,2500.0,Contributions to Federal Candidates,,Contributions to Federal Candidates,2022
SB23,C00121368,5408341,CCM,DAN CRENSHAW FOR CONGRESS,,,,,,PO BOX 430965,,Houston,TX,77243,,2022-07-25,2500.0,Contributions to Federal Candidates,,Contributions to Federal Candidates,2022
SB23,C00121368,5408340,CCM,JIM COSTA FOR CONGRESS,,,,,,2037 W Bullard Avenue,#355,Fresno,CA,93711,,2022-07-25,2500.0,Contributions to Federal Candidates,,Contributions to Federal Candidates,2022
SB23,C00121368,5408337,CCM,BILIRAKIS FOR CONGRESS,,,,,,PO BOX 606,,TARPON SPRINGS,FL,34688,,2022-07-25,2500.0,Contributions to Federal Candidates,,Contributions to Federal Candidates,2022
SB23,C00121368,5408336,CCM,FRIENDS OF JOHN THUNE,,,,,,200 NORTH PHILLIPS AVENUE STE L101,,SIOUX FALLS,SD,57104,,2022-07-25,2500.0,Contributions to Federal Candidates,,Contributions to Federal Candidates,2022
SB23,C00121368,5407734,CCM,HOEVEN FOR SENATE,,,,,,PO BOX 15114,,ARLINGTON,VA,22215,,2022-07-20,2500.0,Contributions to Federal Candidates,,Contributions to Federal Candidates,2022
SB23,C00121368,5408349,CCM,CATHY MCMORRIS RODGERS FOR CONGRESS,,,,,,BOX 137,,SPOKANE,WA,99210,,2022-07-25,2500.0,Contributions to Federal Candidates,,Contributions to Federal Candidates,2022
SB23,C00121368,5408355,CCM,JASON SMITH FOR CONGRESS (P),,,,,,PO BOX 1324,,CAPE GIRARDEAU,MO,63702,,2022-07-25,2000.0,Contributions to Federal Candidates,,Contributions to Federal Candidates,2022
SB23,C00121368,5408350,CCM,DAN NEWHOUSE FOR CONGRESS,,,,,,PO BOX 10949,,YAKIMA,WA,98909,,2022-07-25,2000.0,Contributions to Federal Candidates,,Contributions to Federal Candidates,2022
SB29,C00121368,5381384,COM,Citizens for Jordan Harris,,,,,,615 Chesnut Street,PO Box 39717,Philadelphia,PA,19105,,2022-07-08,2000.0,Contributions to State Candidates,,Contributions to State Candidates,2022
SB29,C00121368,5381401,COM,Friends of Joe Pittman,,,,,,PO Box 382,,Indiana,PA,15701,,2022-07-08,2000.0,Contributions to State Candidates,,Contributions to State Candidates,2022
SB23,C00121368,5408357,CCM,BETH VAN DUYNE FOR CONGRESS,,,,,,P.O. BOX 630167,,Irving,TX,75063,,2022-07-25,1500.0,Contributions to Federal Candidates,,Contributions to Federal Candidates,2022
SB23,C00121368,5408339,CCM,Steve Chabot for Congress,,,,,,3339 Harrison Ave,,Cincinnati,OH,45211,,2022-07-25,1500.0,Contributions to Federal Candidates,,Contributions to Federal Candidates,2022
SB23,C00121368,5408360,CCM,WESTERMAN FOR CONGRESS,,,,,,PO BOX 21097,,HOT SPRINGS,AR,71903,,2022-07-25,1500.0,Contributions to Federal Candidates,,Contributions to Federal Candidates,2022
SB23,C00121368,5408359,CCM,WALORSKI FOR CONGRESS INC,,,,,,PO Box 954,,Mishawaka,IN,46546,,2022-07-25,1500.0,Contributions to Federal Candidates,,Contributions to Federal Candidates,2022
SB23,C00121368,5408351,CCM,SCHNEIDER FOR CONGRESS,,,,,,PO BOX 1318,,Deerfield,IL,60015,,2022-07-25,1500.0,Contributions to Federal Candidates,,Contributions to Federal Candidates,2022
SB23,C00121368,5381370,CCM,LISA MURKOWSKI FOR US SENATE,,,,,,PO BOX 100847,,ANCHORAGE,AK,99510,,2022-07-08,1250.0,Contributions to Federal Candidates,,Contributions to Federal Candidates,2022
